"","mil1","mil2","mil3","mil4","mil5","mil6","mil7","mil8","mil9","mil10","mil11","mil12"
"1",5,5,5,5,2,1,1,3,1,4,1,3
"2",3,3,3,4,5,3,4,5,4,2,2,2
"3",2,2,2,2,2,1,3,3,3,4,3,5
"4",4,3,3,4,3,4,4,4,4,1,1,3
"5",4,4,4,2,3,4,4,4,4,3,3,5
"6",1,1,1,2,5,3,5,5,5,4,3,5
"7",2,4,4,2,4,2,4,4,4,3,1,4
"8",2,3,3,4,3,3,4,4,4,3,4,3
"9",4,5,5,4,2,5,5,4,5,4,4,5
"10",2,2,2,2,2,2,2,4,2,5,3,5
"11",2,1,2,4,4,4,5,4,4,4,2,4
"12",4,4,4,1,3,5,3,3,3,3,3,5
"13",5,5,5,2,2,3,4,4,3,5,4,5
"14",5,4,5,5,3,3,3,3,4,5,5,5
"15",4,3,4,5,5,4,3,5,3,2,2,2
"16",3,3,4,4,3,3,1,4,3,3,3,3
"17",3,5,3,4,3,2,3,4,3,3,1,4
"18",3,4,2,2,4,4,4,4,2,4,1,4
"19",3,4,3,5,3,3,4,4,3,4,3,3
"20",3,3,3,2,4,3,3,3,5,2,3,4
"21",2,1,1,2,1,1,4,3,4,4,3,4
"22",2,3,3,2,2,2,3,2,3,4,3,4
"23",4,4,4,2,2,2,5,4,4,4,4,4
"24",4,3,4,5,5,4,3,5,3,2,2,2
"25",1,1,1,1,1,1,1,1,1,3,1,3
"26",5,5,5,5,5,5,5,5,5,5,5,5
"27",5,5,5,5,4,4,5,4,5,3,3,4
"28",4,4,4,5,4,5,5,4,5,4,4,4
"29",5,5,5,5,5,5,5,5,5,3,4,3
"30",2,1,1,1,1,3,5,5,3,3,3,3
"31",3,4,2,2,2,2,4,3,4,3,2,3
"32",2,3,2,1,3,3,5,4,3,4,3,5
"33",1,1,1,1,1,2,4,4,5,1,1,3
"34",4,4,3,4,4,1,4,4,4,3,2,2
"35",5,5,5,5,5,1,3,5,5,5,5,5
"36",1,1,1,4,2,3,2,4,4,3,3,3
"37",3,3,3,1,3,3,3,3,3,1,1,1
"38",3,5,5,5,5,5,4,5,5,5,5,5
"39",3,3,3,4,3,3,3,3,3,3,3,3
"40",3,3,3,2,3,2,3,3,1,2,1,1
"41",4,4,2,5,4,5,3,4,2,3,2,5
"42",1,1,2,5,2,1,5,4,4,4,4,4
"43",3,3,3,4,3,3,3,5,3,5,5,5
"44",4,3,4,5,2,3,3,4,2,4,3,4
"45",5,4,5,1,1,3,5,1,2,5,4,5
"46",4,4,5,2,3,3,5,5,1,5,1,3
"47",4,3,3,4,3,4,3,4,3,5,3,3
"48",1,1,3,4,3,3,3,3,3,2,3,3
"49",1,1,1,1,1,5,5,5,5,3,1,5
"50",1,1,1,1,3,2,3,3,3,3,3,4
"51",3,3,3,4,3,3,3,1,3,3,3,1
"52",3,3,3,2,3,2,5,4,3,4,3,4
"53",5,5,5,4,1,1,4,1,1,5,3,2
"54",3,3,3,4,3,3,3,3,3,3,3,3
"55",3,3,3,4,3,3,5,5,5,2,2,3
"56",3,3,3,5,4,4,4,4,4,4,4,4
"57",1,1,1,2,3,5,3,3,3,3,3,5
"58",1,1,1,1,1,1,1,1,1,2,1,1
"59",2,2,4,4,3,3,4,4,4,4,5,4
"60",5,5,5,5,2,3,4,4,2,5,5,5
"61",3,3,3,4,3,3,3,4,5,4,4,4
"62",1,3,3,4,3,2,3,3,3,1,2,1
"63",4,4,4,5,3,4,4,5,4,5,4,4
"64",2,2,2,2,2,2,2,2,2,3,3,2
"65",5,5,5,4,4,3,5,4,3,3,3,5
"66",3,5,2,4,4,4,4,3,2,3,4,2
"67",3,5,2,4,4,4,4,3,2,3,4,2
"68",5,5,5,5,5,5,5,5,5,5,5,5
"69",1,1,1,5,4,3,1,2,1,2,3,3
"70",4,4,4,4,4,4,4,4,4,3,4,3
"71",1,1,1,4,3,1,4,3,1,4,3,5
"72",5,5,5,5,5,5,5,5,5,3,3,3
"73",3,1,4,5,3,4,5,5,5,4,5,5
"74",3,5,5,5,3,4,5,5,5,5,4,5
"75",3,2,3,2,3,2,4,3,3,3,2,3
"76",1,2,3,5,1,2,1,3,3,5,5,5
"77",2,2,2,4,3,3,4,3,3,3,1,2
"78",3,1,1,4,1,1,5,5,5,2,1,2
"79",3,4,3,4,3,3,3,3,4,3,3,3
"80",4,5,4,4,1,1,4,5,3,3,1,4
"81",4,4,4,5,5,5,5,5,5,3,2,5
"82",4,4,4,5,4,4,4,4,4,5,4,4
"83",4,4,4,5,4,4,4,4,4,5,4,4
"84",1,1,1,4,2,3,5,5,3,5,5,5
"85",4,4,4,5,4,4,4,4,4,5,4,4
"86",3,4,4,5,4,4,4,5,4,3,4,5
"87",2,2,2,2,2,2,2,3,1,5,1,3
"88",3,3,3,4,3,3,3,3,3,3,3,3
"89",3,1,1,1,3,4,3,3,3,3,3,3
"90",3,3,3,4,3,3,3,3,3,3,3,3
"91",1,1,2,2,3,4,3,4,4,4,3,5
"92",5,5,5,5,5,5,5,5,5,5,5,5
"93",1,1,2,2,1,2,1,1,1,2,1,1
"94",5,5,5,5,5,5,5,5,5,5,5,5
"95",3,5,5,4,5,5,5,5,5,4,5,5
"96",3,2,3,5,3,3,3,4,3,3,3,4
"97",2,2,3,1,2,3,4,4,4,4,3,5
"98",3,3,3,4,5,5,3,4,2,4,3,4
"99",4,4,4,5,4,4,4,4,2,5,5,5
"100",3,4,4,4,3,4,3,4,3,2,1,4
"101",2,4,2,4,2,5,5,3,3,3,3,1
"102",2,3,4,4,4,4,3,4,3,3,3,3
"103",1,1,1,5,5,5,5,5,5,1,1,1
"104",5,5,5,1,5,1,5,5,5,1,5,5
"105",5,5,5,4,4,4,4,3,3,4,3,3
"106",3,4,4,4,4,3,4,3,4,4,3,4
"107",5,3,5,5,5,4,3,4,4,5,4,4
"108",2,3,2,2,4,3,4,4,4,3,3,3
"109",1,3,2,2,3,3,5,3,3,1,1,1
"110",3,5,4,5,4,5,5,5,5,5,5,5
"111",4,4,5,5,3,1,3,2,4,3,3,4
"112",5,1,3,5,5,5,5,5,3,3,3,5
"113",5,5,5,5,5,5,1,5,1,3,3,2
"114",5,5,5,5,3,1,4,4,5,4,1,5
"115",4,4,4,1,2,2,3,4,1,3,1,5
"116",5,5,5,5,5,5,5,5,5,1,1,1
"117",3,3,3,4,3,3,3,3,3,5,5,5
"118",2,1,1,4,4,4,4,2,1,4,4,4
"119",5,3,4,1,4,1,5,1,1,5,1,4
"120",5,2,1,1,5,3,3,5,2,5,4,3
"121",5,5,5,1,1,5,5,5,3,3,3,5
"122",2,2,2,4,4,4,4,4,4,4,5,5
"123",4,4,4,5,5,5,5,5,5,4,5,5
"124",4,4,4,4,4,3,4,4,4,4,5,5
