"","age","gender","occupation","qqm","soc_1","soc_2","soc_3","soc_4","soc_5","soc_6","soc_7","soc_8","soc_9","soc_10","soc_11","soc_12","soc_13","soc_14","soc_15","soc_16","soc_17","soc_18","soc_19","soc_20","soc_21","soc_22","soc_23","soc_24","gbs_1","gbs_2","gbs_3","gbs_4","gbs_5","gbs_6","gbs_7","gbs_8","gbs_9","gbs_10","gbs_11","gbs_12"
"1",28,"female","employed","no",5,4,5,4,4,5,5,3,5,4,4,5,4,5,5,4,5,5,4,5,3,5,5,5,4,4,4,4,4,4,2,2,2,2,2,2
"2",28,"female","employed","no",3,5,4,5,4,5,4,3,4,4,5,4,3,4,4,5,4,5,4,4,2,4,3,2,4,4,4,4,4,4,2,3,2,3,2,2
"3",20,"male","unemployed","no",2,2,2,2,4,2,1,5,3,3,3,3,3,3,3,5,4,5,3,2,3,3,1,4,3,3,3,2,3,3,4,5,4,4,4,4
"4",19,"male","current student","no",5,4,5,4,5,5,4,2,5,5,4,4,4,4,4,5,5,4,4,5,4,5,5,5,5,4,4,4,4,4,2,3,4,2,2,5
"5",20,"female","current student","yes",3,2,2,2,3,4,3,2,2,2,2,2,2,3,2,4,2,4,1,1,2,1,1,2,2,3,2,2,4,1,5,3,2,4,5,2
"6",22,"female","current student","no",2,5,5,5,4,4,4,5,5,5,4,5,5,4,4,5,4,5,4,4,5,4,5,5,3,5,4,5,4,5,1,3,1,1,3,1
"7",28,"female","employed","no",2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,3,3,2,3,4,4,4,4,4,4,4,4,2,2,3,2,3,2
"8",27,"female","employed","no",4,5,4,5,4,5,4,3,4,5,5,4,4,4,4,4,2,5,4,4,2,4,4,4,5,4,4,4,4,4,2,1,2,2,2,2
"9",20,"female","current student","no",2,3,3,3,4,3,3,2,4,3,4,3,4,4,3,4,4,4,4,4,4,4,2,4,4,4,3,3,3,3,3,3,3,4,3,2
"10",20,"male","employed","no",4,5,4,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,1,1,1,1,1,1
"11",20,"female","employed","no",2,3,4,2,2,1,2,4,4,4,4,4,3,4,3,4,4,4,2,4,2,2,2,4,4,4,4,3,4,4,2,2,2,2,2,2
"12",23,"male","employed","no",5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,5,4,4,2,4,4,2,4,4,4,4,4,4,4,2,2,2,2,2,2
"13",19,"female","current student","no",4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,4,2,2,2,2,2,1
"14",21,"female","part-time","no",5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5
"15",20,"female","current student","no",4,2,2,5,3,4,3,2,5,5,4,4,4,4,4,5,4,5,3,4,4,2,2,5,5,5,5,4,4,4,1,1,1,1,2,1
"16",53,"female","retired","no",4,4,4,4,4,4,5,5,4,4,4,5,3,4,4,5,4,4,4,4,4,4,2,4,4,5,4,4,4,4,2,1,2,1,2,2
"17",NA,"female","current student","no",3,4,4,4,5,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,5,4,3,5,4,4,4,4,4,4,2,2,1,2,2,2
"18",24,"female","employed","no",4,4,4,5,5,3,5,4,4,5,4,5,4,4,5,5,4,4,3,4,4,4,4,5,4,5,4,4,4,5,2,1,1,1,2,2
"19",21,"female","current student","no",4,3,3,3,4,4,3,4,4,4,5,4,3,3,3,4,4,5,4,5,4,5,2,4,4,4,4,4,4,4,2,2,2,1,2,2
"20",19,"female","current student","yes",2,2,2,2,2,2,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,2,4,4,3,4,2,3,3,2,4,2,2,4,2,2
"21",20,"female","current student","no",3,5,5,4,4,5,4,4,4,5,5,5,5,5,5,5,4,5,4,5,4,5,3,5,5,5,5,5,5,5,1,1,1,1,1,1
"22",21,"female","current student","no",4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,5,2,4,3,4,3,4,4,4,4,4,4,4,2,2,2,2,3,2
"23",20,"female","current student","yes",3,2,4,3,4,4,4,2,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,2,2,2,3
"24",19,"female","current student","no",4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,3,5,4,3,4,4,4,4,2,3,3,3,1,3
"25",19,"female","current student","no",3,4,3,4,4,3,5,2,3,4,4,4,2,4,3,4,4,5,2,4,3,4,2,4,3,4,4,3,3,4,2,3,1,2,2,1
"26",19,"female","current student","no",4,5,5,5,5,5,5,4,5,5,5,4,4,5,4,5,4,5,4,4,4,4,2,4,4,4,4,5,4,4,2,2,1,1,3,1
"27",24,"male","employed","no",5,4,3,4,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,3,4,4,4,4,2,2,2,3,3,2
"28",19,"female","current student","no",4,4,3,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,4,5,4,4,4,4,4,4,4,3,3,2,3,2,1
"29",21,"male","current student","no",3,4,3,2,3,4,4,5,4,5,5,2,3,4,4,5,4,4,4,4,4,2,4,5,3,5,3,4,4,4,2,4,2,2,2,2
"30",63,"male","employed","no",3,3,3,4,4,4,4,3,4,4,5,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,3,4,4,2,2,1,1,1,2
"31",19,"female","current student","no",4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,5,5,4,4,5,4,3,4,3,4,3,3,3,3,4,3,3,5,4,3
"32",23,"female","part-time","no",4,3,2,3,4,2,5,5,5,4,5,4,4,3,4,4,4,5,4,3,3,5,2,3,4,4,5,4,4,4,3,1,2,3,3,1
"33",21,"female","current student","no",4,3,4,4,5,5,4,3,4,5,4,4,5,5,4,4,4,5,4,5,4,5,4,5,4,4,4,4,4,4,2,1,1,2,2,1
"34",58,"female","employed","no",3,5,3,4,3,4,4,5,4,5,4,5,3,4,5,5,5,4,4,5,3,4,4,5,4,5,4,4,4,4,2,1,2,2,2,2
"35",19,"female","current student","no",2,3,3,3,4,4,2,4,4,5,5,4,4,4,3,4,4,4,2,4,4,4,3,4,3,4,4,4,4,4,3,2,4,3,2,2
"36",20,"male","current student","no",4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,2,2,2,2,2,2
"37",43,"male","employed","no",3,5,1,1,4,3,4,3,4,5,5,5,5,5,3,5,2,5,2,2,2,4,1,4,5,5,3,1,5,5,1,4,2,5,1,1
"38",22,"male","employed","no",4,4,3,3,4,4,5,5,4,5,5,5,4,4,5,4,4,3,4,4,3,4,4,4,4,5,4,4,4,4,1,1,2,3,2,1
"39",22,"female","current student","no",4,2,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,2,2,4,4,2,2,3,4,4,4,4,4,4,4,2,4,4,2
"40",20,"female","current student","no",1,4,4,4,4,4,3,5,4,5,3,4,4,4,4,4,5,4,2,3,4,2,1,5,4,4,5,4,4,5,3,2,2,3,1,2
"41",19,"female","current student","no",4,4,4,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,4,5,5,4,1,1,1,1,1,1
"42",20,"male","current student","no",3,4,4,4,4,5,4,2,4,4,4,4,4,4,4,3,5,4,5,2,5,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
"43",19,"male","current student","no",4,4,4,5,5,5,5,5,4,5,3,4,5,5,3,5,3,5,5,4,5,4,5,4,4,4,4,4,5,4,1,2,2,2,3,2
"44",55,"female","employed","no",1,4,4,4,3,3,2,3,4,2,4,4,3,4,2,4,2,4,4,4,4,3,2,4,1,3,1,1,2,1,5,4,4,5,4,3
"45",52,"female","employed","no",4,4,2,2,4,3,4,4,4,5,5,5,4,4,4,4,4,4,2,4,4,5,2,4,4,5,4,4,4,4,1,2,2,1,3,2
"46",19,"female","current student","no",5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,1,1,1,1,2,1
"47",59,"female","employed","no",4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,2,2,2,2,2
"48",19,"female","unemployed","no",3,4,4,5,4,4,4,5,4,5,4,4,4,3,4,5,4,4,4,4,4,4,4,5,4,5,4,4,5,4,2,2,2,2,2,2
"49",20,"male","employed","no",5,4,3,3,4,3,4,3,4,4,5,5,4,4,5,5,5,5,5,4,4,5,2,5,4,4,4,4,4,4,2,2,2,2,3,3
"50",20,"female","current student","yes",2,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,2,3,4,4,2,3,4,4,4,4,4,4,3,3,3,3,3,2
"51",57,"male","employed","no",1,4,4,4,2,2,2,3,4,2,4,3,2,3,4,4,1,2,2,4,1,2,4,4,4,4,4,3,4,3,3,2,2,3,3,2
"52",20,"female","current student","no",5,4,5,4,5,5,4,2,5,5,5,4,5,5,5,5,3,5,4,5,5,5,2,5,4,5,4,4,4,4,2,2,2,1,1,4
"53",20,"female","current student","no",2,2,2,4,4,5,4,2,4,5,5,4,4,5,5,4,4,5,4,4,2,4,5,5,4,4,4,4,4,4,2,2,3,2,2,2
"54",19,"prefer not to say","current student","no",4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,2,4,4,3,4,4,4,3,4,4,4,4,4,4,4,2,3,2,2,3,2
